ReviewID,AccommodationID,UserID,ReviewText,Rating,ReviewDate
1,10,121,I'll be coming back for sure.,3,2024-09-30
2,25,122,Would definitely book again.,4,2024-08-24
3,12,122,Highly recommended!,5,2024-10-05
4,13,124,I'll be coming back for sure.,3,2024-09-07
5,22,125,The pool was fantastic!,3,2024-11-21
6,25,126,I'll be coming back for sure.,4,2024-08-03
7,46,127,The amenities were great.,5,2024-11-04
8,8,128,Loved the view!,3,2024-10-22
9,41,128,Clean and comfortable.,3,2024-06-20
10,16,130,I'll be coming back for sure.,3,2024-11-13
11,42,130,The amenities were great.,3,2024-09-10
12,46,131,Convenient and affordable.,3,2024-08-29
13,50,132,Wonderful host!,5,2024-07-20
14,42,132,A very cozy place.,4,2024-07-16
15,27,133,A very cozy place.,5,2024-10-28
16,25,134,Excellent stay!,4,2024-06-29
17,30,135,A very cozy place.,4,2024-09-11
18,9,136,Wonderful host!,3,2024-11-26
19,9,138,The pool was fantastic!,4,2024-10-10
20,1,140,Forever am I at work here.,4,2024-07-02
21,16,141,Highly recommended!,5,2024-12-18
22,17,143,The amenities were great.,3,2024-08-03
23,5,144,A very cozy place.,5,2024-11-21
24,9,146,Forever am I at work here.,4,2024-10-31
25,12,148,Loved the view!,5,2024-11-22
26,23,149,Excellent stay!,5,2024-07-10
27,33,149,A bit noisy but manageable.,5,2024-09-25
28,37,150,The amenities were great.,3,2024-07-28
29,37,151,Wonderful host!,4,2024-12-10
30,31,151,The amenities were great.,3,2024-11-20
31,4,153,A very cozy place.,3,2024-07-18
32,47,153,Clean and comfortable.,3,2024-09-02
33,15,153,I'll be coming back for sure.,4,2024-07-05
34,14,158,The amenities were great.,5,2024-12-01
35,45,159,Would definitely book again.,3,2024-06-29
36,23,160,Perfect location!,5,2024-09-23
37,19,163,Loved the view!,3,2024-08-12
38,17,163,Perfect location!,5,2024-07-27
39,41,164,A bit noisy but manageable.,5,2024-08-27
40,18,165,Forever am I at work here.,5,2024-12-14
41,2,165,Perfect location!,3,2024-07-28
42,47,166,Perfect location!,5,2024-11-12
43,7,168,Forever am I at work here.,3,2024-12-01
44,47,168,Clean and comfortable.,5,2024-10-17
45,41,171,Met all my expectations.,3,2024-08-18
46,38,172,A true home away from home.,5,2024-09-06
47,49,173,Convenient and affordable.,5,2024-09-12
48,37,174,A true home away from home.,4,2024-10-02
49,4,174,Clean and comfortable.,4,2024-12-14
50,30,177,The amenities were great.,5,2024-12-14
51,41,181,Convenient and affordable.,4,2024-09-10
52,50,182,The pool was fantastic!,3,2024-11-14
53,34,184,A bit noisy but manageable.,3,2024-11-05
54,7,185,Convenient and affordable.,3,2024-10-17
55,48,185,Highly recommended!,3,2024-09-18
56,38,185,Perfect location!,3,2024-09-21
57,30,186,Highly recommended!,3,2024-07-25
58,12,190,A true home away from home.,3,2024-09-06
59,36,192,Excellent stay!,5,2024-08-23
60,27,192,Wonderful host!,5,2024-11-15
61,16,193,Would definitely book again.,4,2024-10-29
62,5,194,The amenities were great.,4,2024-10-31
63,12,195,Met all my expectations.,3,2024-11-22
64,20,206,A very cozy place.,3,2024-09-15
65,23,207,A bit noisy but manageable.,3,2024-07-20
66,22,208,Perfect location!,5,2024-08-25
67,12,210,I'll be coming back for sure.,4,2024-11-21
68,3,210,Perfect location!,4,2024-06-16
69,37,211,Met all my expectations.,5,2024-08-12
70,49,212,Forever am I at work here.,3,2024-09-07
71,48,212,A very cozy place.,4,2024-07-10
72,5,213,The amenities were great.,5,2024-12-09
73,38,213,A true home away from home.,4,2024-09-25
74,16,215,A bit noisy but manageable.,4,2024-11-16
75,15,216,Clean and comfortable.,5,2024-10-08
76,28,218,Forever am I at work here.,5,2024-10-11
77,43,218,The amenities were great.,3,2024-10-19
78,30,225,Would definitely book again.,3,2024-10-14
79,44,226,I'll be coming back for sure.,4,2024-07-10
80,27,227,The amenities were great.,4,2024-07-01
81,42,229,Excellent stay!,5,2024-08-31
82,16,229,A very cozy place.,5,2024-08-31
83,26,231,A bit noisy but manageable.,3,2024-10-25
84,22,233,A very cozy place.,4,2024-10-02
85,20,237,Perfect location!,5,2024-07-15
86,11,241,Met all my expectations.,3,2024-07-13
87,14,241,The pool was fantastic!,3,2024-08-09
88,45,242,The pool was fantastic!,5,2024-07-27
89,26,243,Would definitely book again.,5,2024-10-09
90,18,244,Would definitely book again.,4,2024-08-25
91,49,245,Clean and comfortable.,3,2024-09-21
92,6,251,Perfect location!,4,2024-07-15
93,27,252,The pool was fantastic!,3,2024-08-05
94,29,252,The amenities were great.,3,2024-07-21
95,3,255,I'll be coming back for sure.,4,2024-09-18
96,16,255,The amenities were great.,3,2024-10-28
97,34,256,A bit noisy but manageable.,5,2024-09-28
98,32,257,The pool was fantastic!,5,2024-09-06
99,7,259,The pool was fantastic!,3,2024-07-09
100,36,261,Convenient and affordable.,3,2024-12-16
101,16,263,The pool was fantastic!,3,2024-08-22
102,33,263,The pool was fantastic!,4,2024-08-02
103,11,264,Excellent stay!,3,2024-09-15
104,18,267,I'll be coming back for sure.,4,2024-12-17
105,2,267,Excellent stay!,3,2024-07-14
106,41,268,A true home away from home.,5,2024-09-16
107,4,271,A true home away from home.,3,2024-08-11
108,15,272,Would definitely book again.,5,2024-10-09
109,28,273,Wonderful host!,3,2024-11-09
110,6,276,Clean and comfortable.,3,2024-11-01
111,20,277,Clean and comfortable.,3,2024-06-11
112,41,279,Perfect location!,5,2024-09-11
113,14,281,Met all my expectations.,4,2024-06-24
114,32,281,Met all my expectations.,4,2024-12-09
115,41,287,Met all my expectations.,3,2024-09-08
116,37,287,Forever am I at work here.,4,2024-09-29
117,42,288,Perfect location!,4,2024-10-15
118,40,290,Clean and comfortable.,5,2024-10-28
119,22,292,A true home away from home.,5,2024-07-27
120,44,295,Wonderful host!,5,2024-11-20
121,46,299,I'll be coming back for sure.,4,2024-09-05
122,1,300,Convenient and affordable.,4,2024-08-25
123,33,301,Clean and comfortable.,5,2024-09-05
124,32,304,The pool was fantastic!,3,2024-11-06
125,11,305,Convenient and affordable.,3,2024-07-13
126,36,306,A very cozy place.,3,2024-11-27
127,18,306,Would definitely book again.,3,2024-08-24
128,28,306,A bit noisy but manageable.,5,2024-08-31
129,46,310,The amenities were great.,3,2024-10-31
130,19,310,Convenient and affordable.,4,2024-10-19
131,25,311,I'll be coming back for sure.,3,2024-08-10
132,17,312,Loved the view!,5,2024-08-31
133,29,315,Met all my expectations.,5,2024-07-07
134,40,316,Wonderful host!,5,2024-08-23
135,39,316,Convenient and affordable.,4,2024-10-27
136,18,317,A very cozy place.,3,2024-07-05
137,18,317,Excellent stay!,4,2024-07-29
138,30,318,Loved the view!,5,2024-10-05
139,14,320,Wonderful host!,4,2024-10-03
140,26,322,The pool was fantastic!,5,2024-09-18
141,9,324,A bit noisy but manageable.,3,2024-07-06
142,21,325,Wonderful host!,3,2024-09-22
