HouseRuleID,RuleDescription
1,No smoking
2,No pets allowed
3,Quiet hours after 10 PM
4,No parties or events
5,Dispose of garbage properly
6,Shoes off indoors
7,No loud music
8,No outside visitors
9,Turn off lights when leaving
10,No cooking after midnight
11,Report damages immediately
12,Use water sparingly
13,Separate recyclables from trash
14,No food in bedrooms
15,Close windows when leaving
16,Do not rearrange furniture
17,Keep the front door locked
18,Do not disturb neighbors
19,No laundry after 9 PM
20,Respect shared spaces
